開學	kai1//xue2	verb school opens; term begins 九月一日開學。 Jiǔyuè yī rì kāixué. The term will begin on September 1.
班	ban1	noun 1 class; team 短訓班 duǎnxùnbān short training course 跳班 tiàobān skip a grade in school 作業班 zuòyèbān work team 2 shift; duty 接班 jiēbān come on shift 替班 tìbān take someone else’s shift 三班倒 sānbāndǎo work in three shifts 今晚是我的班兒。 jīnwǎn shì wǒ debān r. I’ll be on duty tonight. 3 military squad 加強班 jiāqiángbān reinforced squad 4 dated [as part of the term for a troupe] 戲班兒 xìbānr theatrical troupe; company of players 5 (Bān) a surname  verb move troops; withdraw troops 班兵 bān bīng call back troops  measure word 1 a group of people 這班年輕人真了不起。 Zhè bān niánqīngrén zhēn liǎobuqǐ. They’re a fine bunch of young people. 2 a trip by bus, boat, etc. 班船 bānchuán regular ship 搭下一班火車 Dā xià yī bān huǒchē take the next train 一路公共汽車每隔三分鐘就有一班。 Yī lù gōnggòng qìchē měi gé sān fēnzhōng jiù yǒu yī bān. There’s a Number One bus every three minutes.  adjective regularly-run; regular; scheduled 班機 bānjī regular air service
新生	xin1sheng1	noun new life; rebirth; regeneration 這種古老的民間藝術己重獲新生。 zhèzhǒng gǔlǎo de mínjiān yìshù jǐ chóng huò xīnshēng. This age-old folk art was given a new life.  adjective newborn; newly born  noun new student or pupil
嚴	yan2	adjective 1 tight; close 把窗戶關嚴了。 Bǎ chuānghu guān yán le. Shut the window tight. 他的嘴很嚴。 Tā de zuǐ hěn yán. He is tight-mouthed. 2 strict; severe; stern; harsh; rigorous 從嚴 cóngyán on the strict side 高標準, 嚴要求 Gāo biāozhǔn, yán yāoqiú high standards and strict demands 嚴是愛, 鬆是害。 Yán shì ài, sōng shì hài. Strictness helps, indulgence spoils. 3 severe; extreme; hard See 34000128嚴冬yan2dong1嚴冬  noun 1 dated father 家嚴 jiāyán my father 2 (Yán) a surname
口試	kou3shi4	verb examine orally; oral examination (or test) (opp. 筆試)
筆試	bi3shi4	noun written examination (opp. 口試) 參加筆試 cānjiā bǐshì take a written examination
以外	yi3wai4	noun (of scope or range) beyond...; outside; other than (opp. 以內) 長城以外 Chángchéng yǐwài beyond the Great Wall 營房以外 yíngfáng yǐwài outside the barracks 一百公里以外 yībǎi gōnglǐ yǐwài a hundred kilometres away from here 漢族以外的各兄弟民族代表 Hànzú yǐwài de gè xiōng-dì mínzú dàibiǎo delegates of fraternal ethnic groups other than the Han 霧太大, 五米以外就看不見了。 Wù tài dà, wǔ mǐ yǐwài jiù kàn bù jiàn le. There was such a heavy fog that one could not see further than five metres. 除了這間以外, 所有的屋子都打掃了。 Chúle zhè jiān yǐwài, suǒyǒu de wūzi dōu dǎsǎo le. All the rooms have been cleaned except this one. 除此以外, 還有一件事要麻煩你。 Chúcǐyǐwài, háiyǒu yī jiàn shì yào máfan nǐ. There’s another thing I have to trouble you about.
口頭	kou3tou2	adjective 1 oral; verbal (opp. 書面) 口頭翻譯 kǒutóu fānyì translate orally; interpret 口頭通知 Kǒutóu tōngzhī notify orally 2 in words 口頭革命派 kǒutóu gémìngpài revolutionary in word; vocal revolutionary 口頭批准 kǒutóu pīzhǔn oral (or verbal) authorization 口頭上贊成, 實際上反對 kǒutóu shàng zànchéng, shíjìshang fǎnduì agree in words but oppose in deeds  noun mouth; lips 掛在口頭上 Guà zài kǒutóu shàng have (words) on one’s lips
報告	bao4gao4	noun report; speech; talk; lecture 動員報告 dòngyuán bàogào mobilization speech; pep talk 口頭報告 kǒutou bàogào oral (or verbal) report 起草報告 qǐcǎo bàogào draw up a report 總結報告 Zǒngjié bàogào summing-up report 作簡短報告 zuò jiǎnduǎn bàogào give a brief talk (or lecture) 向大會提交報告 xiàng dàhuì tíjiāo bàogào submit a report to a meeting 報告全文如下。 bàogào quánwén rúxià. The full text of the report runs as follow.  verb report; make known 向上級報告 xiàng shàngjí bàogào report to the higher authorities 報告！ Bàogào! Reporting! 報告大家一個好消息。 Bàogào dàjiā yī ge hǎo xiāoxi. Here’s a piece of good news for us. 現在報告新聞。 Xiànzài bàogào xīnwén. Here is the news.
壓力	ya1li4	noun 1 physics pressure (force) 大氣壓力 dàqì yālì atmospheric (or barometric) pressure 2 overwhelming force; pressure 外界壓力 wàijiè yālì outside pressure 對某人施加壓力 duì mǒurén shījiā yālì bring pressure to bear on sb. 在輿論的壓力下 zài yúlùn de yālì xià under the pressure of public opinion 3 burden; strain 運輸壓力 yùnshū yālì strain on transportation
說明	shuo1ming2	verb 1 explain; explicate; expound; illustrate 說明理由 shuōmíng lǐyóu give reasons 說明真相 shuōmíng zhēnxiàng give the facts 說明機器的用法 Shuōmíng jīqì de yòng fǎ explain how a machine works 舉例說明 jǔlìshuōmíng illustrate by examples 代表團認為有必要說明自己的立場。 Dàibiǎotuán rènwéi yǒu bìyào shuōmíng zìjǐ de lìchǎng. The delegation deems it necessary to state its position. 2 show; prove 他的話很能說明問題。 tā dehuà hěn néng shuōmíng wèntí. His words are very telling. 事實充分說明這種做法是正確的。 Shìshí chōngfèn shuōmíng zhèzhǒng zuòfǎ shì zhèngquè de. The facts show clearly that this procedure is correct.  noun explanation; directions; caption 圖片下邊附有說明。 Túpiàn xiàbian fùyǒu shuōmíng. There is a caption under the picture.
